zip,count
37221,8
37209,8
37201,6
37206,6
37208,5
37207,5
37214,4
37218,3
37212,3
37204,2
37217,2
37211,2
37213,2
37205,2
37203,2
37210,2
37228,2
37076,1
37216,1
37115,1
37215,1
